-,1980s,1990s,2.5d,_two_d,2d_fighter,360_video,_three_d,3d_platformer,3d_vision,4_player_local,4x,6dof,atv,abstract,action,action_rpg,action_adventure,addictive,adventure,agriculture,aliens,alternate_history,america,animation_&_modeling,anime,assassin,asynchronous_multiplayer,atmospheric,audio_production,bmx,base_building,baseball,based_on_a_novel,basketball,batman,battle_royale,beat_em_up,beautiful,benchmark,bikes,blood,board_game,bowling,building,bullet_hell,bullet_time,crpg,capitalism,card_game,cartoon,cartoony,casual,cats,character_action_game,character_customization,chess,choices_matter,choose_your_own_adventure,cinematic,city_builder,class_based,classic,clicker,co_op,co_op_campaign,cold_war,colorful,comedy,comic_book,competitive,conspiracy,controller,conversation,crafting,crime,crowdfunded,cult_classic,cute,cyberpunk,cycling,dark,dark_comedy,dark_humor,dating_sim,demons,design_&_illustration,destruction,detective,difficult,dinosaurs,diplomacy,documentary,dog,dragons,drama,driving,dungeon_crawler,dungeons_&_dragons,dynamic_narration,dystopian_,early_access,economy,education,emotional,epic,episodic,experience,experimental,exploration,fmv,fps,faith,family_friendly,fantasy,fast_paced,feature_film,female_protagonist,fighting,first_person,fishing,flight,football,foreign,free_to_play,funny,futuristic,gambling,game_development,gamemaker,games_workshop,gaming,god_game,golf,gore,gothic,grand_strategy,great_soundtrack,grid_based_movement,gun_customization,hack_and_slash,hacking,hand_drawn,hardware,heist,hex_grid,hidden_object,historical,hockey,horror,horses,hunting,illuminati,indie,intentionally_awkward_controls,interactive_fiction,inventory_management,investigation,isometric,jrpg,jet,kickstarter,lego,lara_croft,lemmings,level_editor,linear,local_co_op,local_multiplayer,logic,loot,lore_rich,lovecraftian,mmorpg,moba,magic,management,mars,martial_arts,massively_multiplayer,masterpiece,match_3,mature,mechs,medieval,memes,metroidvania,military,mini_golf,minigames,minimalist,mining,mod,moddable,modern,motocross,motorbike,mouse_only,movie,multiplayer,multiple_endings,music,music_based_procedural_generation,mystery,mystery_dungeon,mythology,nsfw,narration,naval,ninja,noir,nonlinear,nudity,offroad,old_school,on_rails_shooter,online_co_op,open_world,otome,parkour,parody_,party_based_rpg,perma_death,philisophical,photo_editing,physics,pinball,pirates,pixel_graphics,platformer,point_&_click,political,politics,pool,post_apocalyptic,procedural_generation,programming,psychedelic,psychological,psychological_horror,puzzle,puzzle_platformer,pve,pvp,quick_time_events,rpg,rpgmaker,rts,racing,real_time_tactics,real_time,real_time_with_pause,realistic,relaxing,remake,replay_value,resource_management,retro,rhythm,robots,rogue_like,rogue_lite,romance,rome,runner,sailing,sandbox,satire,sci_fi,science,score_attack,sequel,sexual_content,shoot_em_up,shooter,short,side_scroller,silent_protagonist,simulation,singleplayer,skateboarding,skating,skiing,sniper,snow,snowboarding,soccer,software,software_training,sokoban,souls_like,soundtrack,space,space_sim,spectacle_fighter,spelling,split_screen,sports,star_wars,stealth,steam_machine,steampunk,story_rich,strategy,strategy_rpg,stylized,submarine,superhero,supernatural,surreal,survival,survival_horror,swordplay,tactical,tactical_rpg,tanks,team_based,tennis,text_based,third_person,third_person_shooter,thriller,time_attack,time_management,time_manipulation,time_travel,top_down,top_down_shooter,touch_friendly,tower_defense,trackir,trading,trading_card_game,trains,transhumanism,turn_based,turn_based_combat,turn_based_strategy,turn_based_tactics,tutorial,twin_stick_shooter,typing,underground,underwater,unforgiving,utilities,vr,vr_only,vampire,video_production,villain_protagonist,violent,visual_novel,voice_control,voxel,walking_simulator,war,wargame,warhammer_40k,web_publishing,werewolves,western,word_game,world_war_i,world_war_ii,wrestling,zombies
cinematic,0,0,0,32,0,0,2,0,0,0,10,0,0,0,31,1,1,5,39,2,2,3,1,0,4,0,0,30,0,0,50,0,0,0,0,1,0,2,0,0,0,1,0,98,0,0,0,4,3,0,3,66,0,0,2,0,10,1,0,216,0,22,6,20,0,2,15,15,0,2,0,2,0,19,0,1,1,11,1,0,2,0,1,1,1,0,1,0,10,5,0,0,0,0,0,3,1,1,0,1,69,67,4,0,1,0,0,2,6,0,0,0,25,20,0,0,4,0,1,1,1,0,0,14,19,4,0,0,0,0,0,18,0,1,0,9,40,1,0,2,0,2,0,0,1,0,34,0,1,2,0,1,141,0,0,1,0,29,3,0,4,0,0,0,4,0,0,1,0,0,0,1,4,0,3,94,1,0,4,6,1,0,0,30,1,0,3,0,0,2,1,2,16,3,0,0,1,0,58,5,0,0,0,0,4,0,1,0,1,1,0,2,0,0,0,7,38,0,0,0,0,2,1,0,1,0,2,14,1,0,10,13,0,8,8,0,0,0,0,7,0,0,1,0,31,1,57,1,3,19,16,16,17,7,19,87,6,0,0,7,1,1,7,0,0,97,1,16,2,1,1,1,0,0,1,3,0,186,127,0,0,0,0,0,0,0,0,0,0,0,1,12,5,2,0,0,2,0,0,0,6,11,199,1,0,1,0,0,0,42,1,1,11,0,0,0,0,0,5,0,0,0,2,0,0,4,0,0,8,1,6,0,10,0,9,1,10,1,0,0,0,0,0,0,0,6,3,0,0,0,5,0,0,5,0,11,0,0,0,0,2,0,0,0,0,5
city_builder,1,3,0,10,1,0,0,0,0,2,0,0,0,0,31,1,0,0,12,0,2,0,0,0,3,1,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,2,2,5,0,0,4,0,1,0,0,0,39,7,0,18,0,0,2,5,0,11,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,1,0,0,1,0,19,0,0,12,6,0,3,3,18,0,1,0,0,14,9,1,0,0,0,0,0,0,0,8,0,0,8,2,1,2,0,0,0,0,0,0,3,0,1,0,0,0,20,0,0,0,0,3,5,0,2,0,0,0,0,0,2,3,0,1,0,0,3,4,1,0,0,0,13,0,0,0,0,3,1,0,2,0,0,1,0,1,3,0,0,0,2,0,24,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,11,8,0,2,0,1,0,0,0,1,0,1,3,3,0,0,0,0,2,2,0,0,0,0,1,0,1,12,0,16,3,2,0,1,2,0,1,0,3,3,0,6,0,3,3,2,0,0,0,0,2,0,7,0,1,0,0,1,21,0,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,5,15,2,1,0,0,0,0,6,1,3,15,2,0,21,0,0,6,2,0,0,0,0,0,5,2,0,0,0,2,1,0,0,8,6,6,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,3,0,0,0,0,0,0,1,2,0,2
class_based,32,135,24,269,12,0,9,25,7,18,22,7,0,40,651,53,37,22,528,2,31,13,5,0,82,7,1,373,0,0,26,0,5,0,1,0,20,13,2,1,15,11,1,16,22,9,23,1,9,14,25,208,0,6,28,0,25,8,9,22,7,1013,3,115,1,6,85,111,4,37,9,76,1,1,21,6,89,72,32,0,64,2,23,3,19,2,12,20,228,7,2,0,1,7,7,14,23,7,2,20,34,16,8,7,11,10,2,7,76,25,179,0,109,172,106,0,95,19,183,1,14,0,0,38,135,15,0,0,8,5,1,1,0,119,21,22,389,8,1,42,1,18,0,0,8,11,62,0,123,0,0,3,360,1,3,6,5,53,35,0,13,3,7,0,9,10,42,37,2,12,2,11,6,2,33,15,3,4,11,111,2,23,4,45,16,15,41,0,0,15,1,9,69,4,0,0,6,0,270,18,11,0,50,0,11,0,1,7,9,16,1,37,0,106,3,31,121,0,14,3,25,11,2,0,36,2,10,125,127,104,2,1,0,27,7,0,6,14,36,189,29,6,10,7,212,10,78,36,14,25,29,19,55,92,95,13,333,2,13,15,6,12,4,6,1,60,7,203,5,20,5,10,50,234,69,98,12,123,711,0,0,0,1,0,0,0,1,1,2,1,7,69,6,5,1,8,11,20,50,0,19,230,241,3,70,2,2,5,21,59,40,4,97,13,11,14,0,1,128,40,5,5,0,6,17,27,14,11,10,1,3,4,4,1,99,30,56,16,1,6,0,3,6,3,1,8,0,8,0,6,70,9,0,2,9,64,7,5,0,1,7,1,5,31,0,54
classic,0,0,0,55,0,0,0,0,1,0,0,0,0,1,53,1,2,10,63,7,1,0,1,0,21,0,0,29,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,17,1,0,0,5,6,0,4,168,0,0,2,0,6,1,0,6,0,3,194,5,0,0,15,14,0,3,0,0,0,9,0,0,1,20,0,0,5,2,2,4,1,1,0,0,20,1,0,0,0,0,0,0,4,1,0,0,22,6,1,0,1,0,0,3,3,0,2,0,19,18,2,0,7,0,4,2,0,0,0,70,34,4,0,0,1,0,6,1,0,4,1,1,26,0,1,1,0,2,0,0,0,5,2,0,5,0,0,11,158,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,2,1,0,4,0,3,24,0,0,4,0,1,5,0,3,16,0,0,0,0,15,2,0,0,1,0,0,10,0,26,0,1,0,7,0,0,2,1,0,0,0,0,9,0,2,0,2,7,1,0,1,0,0,0,0,1,0,0,24,3,15,0,1,0,1,2,0,0,0,6,11,0,0,0,0,51,2,2,3,1,6,5,1,27,0,5,18,12,0,0,3,2,2,0,1,0,7,2,5,2,0,0,8,1,2,4,6,0,98,84,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,6,0,1,0,0,7,82,1,3,0,0,1,3,5,3,0,0,0,1,0,0,0,1,0,0,0,1,1,2,6,1,5,6,0,1,2,2,0,2,3,1,0,6,0,0,0,1,0,0,1,0,0,0,0,4,6,0,3,0,1,0,0,0,0,1,0,0,0,0,3
clicker,13,11,15,295,14,0,3,14,18,142,20,3,0,3,1291,115,28,22,789,7,59,11,13,3,81,5,5,329,0,0,67,2,3,4,7,22,82,10,2,0,27,30,2,117,68,13,9,2,18,23,41,372,2,7,90,2,7,0,3,20,18,115,5,1517,37,6,77,186,13,115,0,181,0,146,16,11,9,62,23,0,31,3,21,4,9,1,30,0,243,15,6,0,6,17,0,35,58,8,1,4,325,16,7,1,15,2,0,6,94,2,353,1,127,207,110,0,104,63,357,10,20,10,0,258,321,61,0,1,10,15,1,1,1,229,2,25,367,1,10,115,11,14,0,12,10,3,60,1,202,0,18,15,961,4,2,7,0,66,23,1,20,24,2,0,30,14,400,255,3,53,5,6,75,38,43,29,9,6,254,33,3,28,20,46,62,18,89,1,3,11,5,25,86,4,0,0,5,3,1132,5,13,2,13,0,6,3,0,11,15,2,1,70,5,16,5,456,477,0,34,4,12,32,0,0,77,1,11,171,165,4,6,4,0,56,47,0,7,6,48,113,35,41,181,9,416,2,105,60,26,36,20,99,20,30,87,22,121,7,39,93,68,0,3,2,4,249,4,271,4,9,2,23,71,479,21,97,3,308,880,0,0,0,13,1,1,10,1,0,3,7,5,127,12,4,0,57,75,8,75,0,24,115,453,3,16,1,20,3,8,361,92,8,161,2,17,125,0,2,234,119,2,4,2,3,1,87,69,6,64,8,8,9,3,1,47,12,41,10,0,78,3,1,13,1,1,57,11,8,0,5,142,5,1,31,32,126,5,13,0,2,4,0,5,44,3,193
co_op,0,0,1,10,3,0,0,2,1,12,0,0,0,1,34,3,1,0,18,0,3,1,0,0,1,0,0,11,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,4,1,0,0,0,1,5,14,0,0,2,0,0,0,0,0,0,1,0,37,45,1,7,6,0,1,0,9,0,0,1,0,0,5,1,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,1,2,0,1,0,9,0,0,0,0,0,0,0,0,1,3,0,9,1,4,0,4,2,5,0,0,1,0,3,12,3,0,0,1,1,0,0,0,7,0,1,16,0,0,3,1,2,0,1,0,0,0,0,6,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,2,0,23,19,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,28,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,22,4,0,0,0,0,1,0,0,4,0,0,6,4,1,0,0,0,0,1,0,0,0,3,7,2,1,1,2,6,0,4,0,2,3,0,1,0,0,2,0,6,0,2,3,1,0,0,0,0,1,1,9,1,0,0,1,3,11,2,4,0,3,18,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,6,1,0,1,0,2,7,6,0,2,0,0,0,0,4,2,0,3,0,1,3,0,0,3,5,0,0,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,1,2,0,4
co_op_campaign,1,0,0,6,0,0,1,0,0,0,0,0,0,0,33,0,2,1,15,0,2,14,1,0,7,1,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,15,0,0,1,0,1,1,2,2,0,6,0,6,1,65,0,10,0,0,0,1,0,0,1,0,5,2,3,0,5,0,0,5,1,0,2,0,9,0,4,0,0,0,0,0,0,0,0,1,4,4,4,0,2,1,0,0,1,1,10,0,8,2,1,0,8,0,8,0,1,0,0,5,11,0,0,0,0,0,0,1,0,6,0,8,18,0,0,0,0,0,0,1,1,0,14,0,6,0,0,10,28,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,6,0,0,3,5,1,3,0,0,12,0,17,0,0,0,0,0,3,4,0,0,0,0,24,1,0,0,1,0,0,0,0,5,0,2,0,8,0,0,0,1,4,0,0,1,0,2,1,0,2,0,0,2,0,0,8,8,0,0,1,0,2,0,9,6,0,0,0,0,4,0,13,1,8,6,5,6,0,1,10,2,1,0,0,1,1,0,0,0,0,5,2,3,0,0,0,12,0,7,3,0,0,34,42,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,5,0,0,13,40,1,1,1,0,0,2,0,4,0,23,0,1,2,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,8,3,0,0,0,0,0,0,0,3,1,0,0,2,7,0,0,0,2,23,13,0,0,0,0,0,5,6,0,2
cold_war,8,6,17,318,5,0,15,49,5,51,1,3,0,69,365,15,33,24,314,8,15,2,5,3,63,1,4,226,4,0,9,0,1,0,0,0,12,21,0,1,3,14,0,48,43,2,0,1,15,39,61,468,2,6,19,4,8,3,4,15,2,85,15,77,7,0,708,94,0,39,1,105,6,12,4,4,7,214,12,0,16,8,15,10,4,9,12,6,214,4,0,0,0,4,12,12,9,0,7,2,79,15,15,3,0,5,4,33,95,0,21,0,268,95,140,0,75,16,63,4,17,2,1,22,209,25,1,1,7,1,2,4,3,13,0,1,313,8,1,14,2,56,0,0,3,26,9,0,16,2,4,8,644,2,7,2,5,31,4,0,13,0,0,1,25,18,58,67,13,4,4,0,2,0,19,29,0,0,10,5,19,11,3,8,31,15,0,3,5,68,5,0,13,6,0,0,31,0,100,8,50,15,39,1,3,6,18,1,4,5,8,25,3,50,0,21,53,2,17,2,2,9,4,0,71,1,5,78,141,45,0,1,0,6,30,2,23,5,15,250,50,4,12,1,59,5,7,39,0,13,5,15,188,10,142,21,133,19,13,14,15,11,0,11,1,43,4,77,9,28,0,27,43,55,85,91,7,120,499,0,0,1,0,2,0,1,2,0,1,2,12,49,4,3,0,12,32,0,4,1,3,100,86,1,101,0,3,1,39,29,1,10,16,2,2,7,0,3,38,3,2,11,2,0,2,39,21,18,6,1,1,3,2,0,20,8,9,5,1,19,0,2,5,3,4,31,10,3,0,1,18,34,0,6,28,10,0,0,0,0,0,2,0,2,1,11
colorful,14,22,14,357,14,0,12,24,12,40,0,2,0,5,609,31,31,16,746,1,25,6,10,6,173,4,1,248,0,0,16,0,0,1,6,3,37,7,0,0,18,16,2,38,17,4,0,5,19,38,66,533,8,7,36,1,63,34,4,15,5,111,14,186,6,10,94,1172,15,24,7,76,8,20,18,10,25,164,15,0,36,60,132,81,15,7,23,31,186,6,1,1,4,6,19,16,26,0,5,15,111,16,17,6,10,22,1,20,80,11,88,0,170,177,55,0,150,36,146,1,3,2,0,79,726,18,3,2,13,0,2,9,2,144,1,0,397,2,2,31,3,58,0,5,3,17,15,0,126,0,1,36,897,8,20,2,4,25,49,0,26,22,0,1,15,3,102,88,3,11,2,8,6,4,25,40,1,1,27,36,4,75,6,18,215,18,3,1,10,14,1,2,24,4,0,0,13,4,258,46,26,1,58,1,0,16,10,0,13,14,3,131,1,20,3,70,137,22,14,53,6,17,5,0,82,0,13,161,144,180,16,13,0,30,13,2,5,11,73,227,31,2,11,9,252,44,28,35,2,6,5,17,51,25,96,11,130,9,17,34,20,57,0,10,0,111,39,140,17,10,4,119,33,124,69,61,1,282,754,0,0,0,1,1,0,1,3,1,2,3,7,53,8,7,0,21,39,3,29,0,17,289,240,10,31,0,21,5,31,85,47,10,32,9,1,16,1,5,139,30,5,4,4,6,14,23,11,31,26,0,1,5,0,2,82,31,26,16,0,6,4,1,4,1,0,44,9,5,2,23,105,131,1,6,39,16,1,0,0,5,7,0,2,9,2,55
comedy,0,1,4,10,7,0,0,0,4,1,0,0,0,0,47,1,5,0,49,0,0,0,0,0,6,1,0,27,0,0,0,0,0,0,14,1,11,0,0,0,2,0,0,0,0,1,0,0,1,6,5,18,0,1,4,0,12,10,4,0,0,4,0,13,0,0,0,15,80,4,0,9,0,0,1,1,1,2,1,0,8,1,2,0,0,0,1,9,4,0,0,0,1,0,4,0,2,0,0,0,10,0,1,3,0,11,1,0,0,0,5,0,7,7,2,0,12,14,4,1,0,0,0,6,15,0,0,0,0,0,0,0,0,15,0,0,19,0,0,1,0,4,0,4,0,1,1,0,13,0,0,0,45,0,4,0,0,1,2,0,0,4,0,0,0,0,7,8,0,1,1,0,2,0,0,0,0,1,3,1,2,7,0,0,2,4,0,0,0,1,0,0,0,0,0,0,2,0,20,2,2,0,6,0,0,0,1,0,0,6,1,6,0,1,0,5,14,0,0,0,0,2,0,0,0,0,0,1,7,20,0,0,0,5,2,0,0,0,1,11,2,0,2,6,14,0,0,0,0,0,2,0,1,0,3,0,3,0,0,2,2,1,0,0,0,8,0,5,0,0,0,3,2,6,2,1,0,5,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,1,7,0,1,32,9,0,0,0,28,2,0,5,3,0,3,0,0,1,0,1,15,3,0,1,0,0,2,1,2,3,1,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,8,0,0,1,1,0,0,0,1,1,0,1,0,0,8
comic_book,7,6,17,90,40,0,8,5,3,69,1,2,0,3,314,8,4,13,65,1,4,2,0,1,40,2,5,64,0,0,9,2,0,2,1,9,19,0,0,1,8,18,0,12,11,1,0,1,19,9,9,139,0,1,24,5,4,0,0,2,11,37,3,115,1,0,39,24,4,399,0,72,2,3,1,2,3,25,9,0,2,0,1,0,1,2,6,4,83,2,0,0,1,1,1,8,4,0,0,1,105,3,3,0,1,0,0,6,7,0,73,0,45,40,96,0,19,71,62,1,10,8,0,81,91,25,0,1,3,4,2,2,1,32,0,3,97,4,8,10,1,3,0,1,6,9,9,1,16,0,2,2,287,0,0,0,0,7,2,0,2,1,0,0,13,2,46,120,3,3,0,3,10,25,9,6,1,0,48,8,4,10,10,8,9,2,16,2,1,19,1,3,26,1,0,1,5,0,270,0,2,0,5,0,1,0,1,4,7,0,0,12,2,5,0,64,25,0,10,1,0,2,0,0,25,1,3,27,32,9,0,2,0,4,9,1,2,1,7,44,8,8,95,0,31,0,24,39,6,13,8,8,18,4,50,7,28,0,13,4,3,2,0,6,2,16,0,64,1,9,1,10,9,97,4,12,1,57,170,0,0,0,4,0,0,9,1,0,0,1,6,25,1,1,0,21,63,0,6,2,5,16,128,3,12,0,5,0,3,32,2,8,59,4,5,60,0,0,27,18,1,8,0,1,0,24,16,2,8,0,4,10,0,1,29,17,28,19,6,11,0,0,2,0,2,25,4,0,0,1,35,5,0,3,0,20,1,2,0,1,0,0,0,4,0,15
competitive,2,2,0,11,0,0,2,0,0,0,0,0,0,0,19,3,8,0,35,0,1,4,1,0,2,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,1,2,0,2,0,0,0,0,9,0,0,0,0,1,7,0,0,38,7,3,0,1,1,2,0,7,0,3,1,5,1,2,0,0,3,3,0,1,0,0,0,2,0,0,0,1,6,4,0,0,1,0,0,0,1,6,0,4,0,2,3,0,0,8,0,6,0,0,0,1,1,7,1,0,0,1,0,0,0,0,1,0,1,15,0,0,1,2,6,0,0,0,0,11,0,8,0,1,8,22,0,3,1,3,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,2,3,0,0,0,4,2,0,0,0,0,1,0,0,1,2,0,0,0,0,7,3,0,0,10,0,1,0,2,0,0,1,0,0,0,2,0,0,10,0,6,0,0,1,0,0,0,0,0,3,2,9,2,2,0,1,1,1,1,2,5,15,0,0,0,1,13,1,0,0,0,0,0,0,0,2,2,0,6,0,0,0,1,1,1,0,0,5,2,12,1,0,0,1,0,4,3,1,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,1,20,3,0,3,0,0,2,4,0,1,1,2,0,0,0,0,0,15,0,2,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,2
conspiracy,10,10,35,329,39,0,13,35,18,86,1,0,0,19,612,39,57,26,362,6,14,4,3,2,91,9,0,188,1,0,2,0,2,3,7,4,61,19,0,0,6,6,0,14,56,6,0,0,6,23,38,281,2,19,29,0,8,0,8,2,3,76,0,181,9,1,105,76,9,72,7,735,2,8,4,8,7,109,12,0,32,1,12,2,9,3,16,5,248,3,0,0,3,2,6,31,22,0,3,4,87,1,7,1,5,2,1,18,91,0,42,1,133,123,127,0,90,70,61,4,15,1,0,62,149,27,1,1,17,2,5,3,2,48,3,0,345,2,6,65,2,13,0,3,1,4,15,1,36,2,4,3,570,4,2,1,1,23,19,1,12,10,3,0,25,22,142,168,4,14,3,2,4,5,22,6,2,1,36,18,2,7,14,18,12,55,11,2,3,55,4,2,10,3,0,0,15,1,247,7,29,2,19,3,3,2,4,2,11,1,5,28,4,13,1,67,115,1,26,6,3,17,1,0,57,1,4,153,227,9,1,1,0,12,30,0,8,7,13,129,59,6,30,5,116,8,6,66,1,6,2,28,45,16,91,2,168,11,27,29,30,4,1,14,1,31,4,101,8,38,4,11,61,136,61,130,14,81,550,0,0,1,2,1,1,1,2,0,2,9,24,35,0,19,0,32,53,3,24,4,10,127,90,5,37,0,15,6,23,41,5,8,16,3,3,15,0,0,105,24,2,16,0,9,5,55,34,12,12,2,0,1,0,1,19,8,7,4,4,40,0,4,7,5,5,15,1,3,1,2,42,10,1,5,17,15,1,1,1,0,3,0,0,3,1,27
controller,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,14,0,1,2,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,3,8,0,0,0,0,3,1,0,0,0,1,0,0,0,0,6,8,0,2,3,2,19,0,0,0,0,1,0,0,3,3,5,2,3,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,4,0,3,0,0,0,0,1,11,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,19,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,0,1,0,0,0,0,0,3,0,0,0,0,6,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3,0,0,2,0,0,1,1,1,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0
conversation,0,0,2,95,1,0,3,2,2,1,3,2,0,0,288,23,12,1,326,14,12,2,1,3,20,0,0,105,1,0,83,0,0,0,0,6,1,1,0,0,1,1,0,160,3,0,5,2,5,4,12,99,1,0,19,0,6,3,0,19,4,1,9,146,0,0,12,20,0,3,0,8,0,452,1,2,1,23,3,1,12,0,3,3,3,3,7,0,48,6,0,0,0,9,1,5,12,1,1,3,231,10,11,0,1,1,0,4,107,0,74,0,20,67,8,0,23,3,102,6,3,0,0,63,39,7,0,3,5,0,0,7,0,44,1,2,57,3,2,8,0,4,0,0,3,0,7,0,57,0,15,3,380,0,2,8,0,20,10,1,8,0,0,0,3,1,5,3,0,11,1,2,40,3,16,38,4,0,99,0,1,3,3,21,9,2,4,0,0,4,11,2,18,1,0,0,1,1,223,2,1,1,11,1,1,0,1,3,4,1,0,26,0,2,0,45,280,1,3,0,2,18,0,1,18,0,9,70,25,6,0,0,0,57,33,1,1,1,12,18,3,16,46,1,250,10,11,7,1,6,2,23,15,1,26,28,15,0,11,43,18,1,0,0,2,250,0,72,3,0,0,5,3,58,2,19,1,193,268,0,0,0,0,1,0,0,2,2,0,1,1,50,16,0,0,3,2,0,13,0,8,37,131,6,4,0,0,0,2,299,45,2,8,0,1,5,0,1,50,12,0,0,0,0,1,26,8,1,11,0,2,3,2,0,21,11,14,4,1,4,0,3,7,0,2,12,2,0,2,0,35,3,0,32,15,7,0,0,0,0,2,0,0,3,0,67
crafting,6,2,0,25,0,0,0,1,3,0,0,0,0,1,63,2,2,3,95,0,0,2,1,0,10,7,0,59,0,0,1,0,0,0,0,0,4,0,0,0,0,1,1,2,0,3,0,1,2,0,2,36,1,0,4,0,15,2,5,0,0,21,0,16,1,1,4,18,1,1,1,4,0,1,122,0,4,1,0,0,19,1,4,3,1,0,0,34,16,0,1,0,0,1,7,7,0,0,0,2,13,0,3,1,0,2,0,1,6,2,11,0,8,2,3,0,16,1,21,0,0,0,0,4,24,1,0,0,0,0,0,0,0,22,0,1,50,0,1,0,3,2,0,9,0,11,7,0,21,0,0,2,73,0,4,0,6,0,3,0,1,1,0,0,1,2,4,1,1,2,0,1,0,0,6,6,0,2,2,4,0,22,0,0,4,0,1,0,2,1,0,0,8,1,0,0,7,1,35,4,3,0,37,0,0,0,1,0,0,17,0,14,0,1,0,6,38,1,3,1,0,1,0,0,3,0,1,15,1,30,2,4,0,2,1,0,0,2,12,36,0,1,1,1,25,5,0,11,1,1,0,4,5,2,10,1,9,0,1,1,2,2,0,0,0,25,5,7,0,2,1,14,0,34,7,1,2,27,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,22,0,3,55,27,0,1,0,0,3,2,4,5,0,8,0,0,2,0,0,33,23,5,0,0,0,0,7,2,1,0,0,0,0,1,0,4,2,3,1,0,0,2,0,0,0,0,2,0,0,0,3,36,13,0,0,6,1,0,0,0,0,0,0,0,0,0,2
